Country,Iso3,Population,Density,MedianAge
Guatemala,GTM,17103802.5,159.60995240761477,21.2148032881391
Guinea,GIN,13034346,53.04552335992186,17.4351253052256
Guyana,GUY,807665,4.102946405892812,24.6131661181549
Haiti,HTI,11105163,402.81341361674345,22.5070705473839
Honduras,HND,9943633.5,91.16410418614883,22.2445936219684
"China, Hong Kong SAR",HKG,7485813,6811.476797088262,43.8124101938342
Hungary,HUN,9770346.5,107.92385397105932,42.117614410875
Iceland,ISL,360699.5,3.598251249463803,35.4542324375748
India,IND,1389030312,467.1851822453325,26.667794973919
Indonesia,IDN,272489381,142.59509160717997,28.8911026647957
Iran (Islamic Republic of),IRN,87051647.5,53.44690560245587,30.7847245376613
Iraq,IRQ,41192170.5,94.88485078133638,19.3634150013502
Ireland,IRL,4933491,72.1618763438501,36.8833186362848
Israel,ISR,8657474,400.0126599824424,28.9353098470407
Italy,ITA,60130136,203.15951009375792,45.9983113614442
Côte d'Ivoire,CIV,28193009,88.6572610062893,17.8171910608136
Jamaica,JAM,2823271,260.6898430286242,29.7463482972062
Japan,JPN,126699423.5,336.22970803345856,47.2624000980899
Kazakhstan,KAZ,19209555,7.115440604511613,29.0626087769612
Jordan,JOR,10671891.5,120.18707908191996,22.9058277655711
Kenya,KEN,51202827.5,88.17006843134824,18.5405777558017
Dem. People's Rep. of Korea,PRK,26037632.5,216.24144589319823,35.1239142343267
Republic of Korea,KOR,51767846,523.2087767704638,42.1838885334257
Kosovo (under UNSC res. 1244),XKX,1755042,160.93920220082532,29.2669825749741
Kuwait,KWT,4442193.5,249.3093220338983,36.2116241917227
Kyrgyzstan,KGZ,6494035,33.85836809176225,24.4703997797642
Lao People's Democratic Republic,LAO,7237635.5,31.358905979202778,23.0869837438023
Lebanon,LBN,5794594,566.4314760508308,27.9462833635674
Lesotho,LSO,2209405.5,72.77356719367589,20.8375141553811
Latvia,LVA,1914263,30.762578944831024,42.638655178743
Liberia,LBR,5043720.5,52.36420784883721,17.7664722211296
Libya,LBY,6951032.5,4.146904184350536,26.234830932841
Liechtenstein,LIE,38440,240.25,43.3856203711573
Lithuania,LTU,2795058,44.6345155778413,43.1401459589165
Luxembourg,LUX,620163,239.44517374517375,38.4842481478782
"China, Macao SAR",MAC,670974,20967.9375,36.7129335325004
Madagascar,MDG,28219554,48.50429103034574,18.2419192875503
Malawi,MWI,19025752,201.21998477028512,16.6945020208502
Malaysia,MYS,33440595.500000004,101.78236341500534,28.1748447846456
Maldives,MDV,487731,1625.77,28.5129139941992
Mali,MLI,21068404.5,17.26649497209451,15.0212080375777
Malta,MLT,504015.5,1600.0492063492063,38.8932770179651
Martinique,MTQ,359611.5,339.2561320754717,47.0298545172878
Mauritania,MRT,4467708,4.334634714271854,16.7724158342893
Mauritius,MUS,1286270,633.6305418719212,35.594207373941
Mexico,MEX,125762982.5,64.18941476525687,27.6162393471766
Monaco,MCO,38109,25576.510067114097,54.6419863159083
Mongolia,MNG,3232113.5,2.0752452228338303,26.3339278782201
Republic of Moldova,MDA,3112562,94.65853658536584,36.4586324168001
Montenegro,MNE,611666.5,44.28515059368665,38.3407772692216
Montserrat,MSR,4539.5,44.07281553398058,40.255624744949
Morocco,MAR,36210898,81.13577862424378,27.8744565924488
Mozambique,MOZ,29884380,38.00246700068669,16.0700479491549
Oman,OMN,4591241,14.834381260096931,28.8802378890609
Namibia,NAM,2650494.5,3.2193935308336066,20.732918181918
Nauru,NRU,11587,579.35,20.9034866904677
Nepal,NPL,28414063.5,193.05524150535737,22.6629091264749
Netherlands,NLD,17537507,520.8490095334264,41.4891900542839
Curaçao,CUW,189543,447.03537735849056,36.5701654053518
Aruba,ABW,107076,594.8666666666667,40.0883340307296
Sint Maarten (Dutch part),SXM,40384.5,1187.779411764706,39.6237635840753
"Bonaire, Sint Eustatius and Saba",BES,25625,78.125,39.5648595286513
New Caledonia,NCL,283606,15.514551422319474,32.4759405277986
Vanuatu,VUT,291984.5,23.95278917145201,20.187796602843
New Zealand,NZL,4989402.5,18.834828220140956,36.2868531135305
Nicaragua,NIC,6483657,53.8778211733422,23.9799275149907
Niger,NER,22947757.5,18.116173916475883,14.6988533477766
Nigeria,NGA,209485641,230.00937777924173,17.0531255775454
Niue,NIU,1793,6.8961538461538465,35.9015777610819
Norway,NOR,5347730.5,17.578150782641853,38.7973102442023
Northern Mariana Islands,MNP,48129,105.31509846827132,33.2641107522717
Micronesia (Fed. States of),FSM,110282,157.5457142857143,21.890328943678
Marshall Islands,MHL,44006.5,244.48055555555555,21.3374501333528
Palau,PLW,17798,38.69130434782609,36.4390157294312
Pakistan,PAK,230800898.5,299.3992560450394,19.6521039536619
Panama,PAN,4234700.5,57.08913140191704,28.3612010641298
Papua New Guinea,PNG,9609010,21.218500198736916,21.5426506735575
Paraguay,PRY,6515058,16.107920872861055,25.2154376020512
Peru,PER,32449303,25.349314811661092,28.2205835006159
Philippines,PHL,110804683.5,369.348945,23.6890222237258
Poland,POL,38225884.5,124.84204295316042,39.7420879388975
Portugal,PRT,10343213,112.44456161330652,44.6038102274917
Guinea-Bissau,GNB,1967696,69.97496443812233,18.1881136053586
Timor-Leste,TLS,1300944.5,87.487861466039,19.8131198679676
Puerto Rico,PRI,3288028,378.2820984813622,43.7459095923517
Qatar,QAT,2797921,241.49154151562232,31.2061922685935
Réunion,REU,857327.5,342.931,35.9336575593074
Romania,ROU,19501542,84.76130496010015,41.6278474299922
Russian Federation,RUS,146533067,8.948219758010467,38.4414553518937
Rwanda,RWA,12776103,527.7200743494424,18.7415274887169
Saint Barthélemy,BLM,10298.5,468.1136363636364,37.9674533133051
